gene id	category	chr	start	end	numSNPs in region	non-genic:synonymous:non-synonymous	num haplotypes
Sb01g003470.1	44-CCR	1	2810843	2813315	11	0:04:07	5
Sb01g003480.1	44-CCR	1	2813705	2815878	4	1:02:01	3
Sb01g014020.1	8-PAL	1	13208557	13210834	6	0:03:03	5
Sb01g016420.1	15-4CL	1	16468774	16471787	13	5:03:05	6
Sb01g016630.1	15-4CL	1	16773520	16778895	6	0:04:02	9
Sb01g017270.1	3-F5H	1	17757119	17761789	18	2:05:11	19
Sb01g027820.1	15-4CL	1	48449904	48456508	10	3:01:06	7
Sb01g028030.1	44-CCR	1	48798026	48801599	12	9:02:01	17
Sb01g042900.1	41-COMT	1	66184517	66186960	2	2:00:00	2
Sb01g046720.1	44-CCR	1	69857974	69860699	7	2:01:04	10
Sb01g048200.1	15-4CL	1	71247123	71252840	9	6:02:01	13
Sb02g001045.1	15-4CL	2	849950	852326	9	0:02:07	7
Sb02g001050.1	15-4CL	2	882400	885049	14	3:05:06	17
Sb02g002630.1	3-F5H	2	2782643	2784313	4	0:00:04	3
Sb02g006640.1	41-COMT	2	8271461	8272253	0	0:00:00	0
Sb02g010910.1	3-C4H	2	17348155	17352528	5	1:01:03	4
Sb02g014910.1	44-CCR	2	29046019	29052028	3	0:01:02	3
Sb02g020270.1	15-4CL	2	49095458	49101492	13	2:05:06	17
Sb02g024190.1	14-CAD	2	58394105	58396113	5	0:02:03	8
Sb02g024200.1	14-CAD	2	58401105	58401666	0	0:00:00	0
Sb02g024210.1	14-CAD	2	58404166	58406013	10	0:06:04	5
Sb02g024220.1	14-CAD	2	58408367	58410576	15	0:04:11	24
Sb02g025010.1	4-HCT	2	59656099	59660631	16	14:00:02	22
Sb02g027930.1	7-CCOAMT	2	63180612	63181966	5	2:00:03	6
Sb02g028580.1	44-CCR	2	63712185	63714005	25	11:06:08	14
Sb02g028590.1	44-CCR	2	63775943	63783849	15	8:02:05	13
Sb02g028600.1	44-CCR	2	63788156	63794275	34	9:01:00	35
Sb02g028620.1	44-CCR	2	63799097	63802492	1	1:00:00	2
Sb02g028700.1	44-CCR	2	63877644	63879533	1	1:00:00	1
Sb02g035230.1	41-COMT	2	69694834	69698208	13	0:07:06	7
Sb02g038520.1	44-CCR	2	72742581	72745340	17	6:05:06	23
Sb03g000610.1	15-4CL	3	438545	440734	7	0:04:03	12
Sb03g007400.1	44-CCR	3	7737004	7738510	2	0:00:02	3
Sb03g009840.1	44-CCR	3	10606733	10608811	3	0:01:02	5
Sb03g028880.1	44-CCR	3	57039148	57040668	6	4:00:02	4
Sb03g028890.1	44-CCR	3	57050278	57051815	2	1:00:01	2
Sb03g034845.1	41-COMT	3	62992334	62993571	3	0:02:01	2
Sb03g037380.1	2-C3H	3	65339180	65342378	6	0:06:00	4
Sb03g038160.1	3-C4H	3	66089841	66091809	5	1:01:03	3
Sb03g038620.1	44-CCR	3	66498734	66500800	7	6:01:00	1
Sb03g038630.1	44-CCR	3	66501689	66503443	0	0:00:00	0
Sb03g038640.1	44-CCR	3	66504584	66505382	11	0:01:10	4
Sb03g042910.1	15-4CL	3	70320399	70323860	3	1:01:01	4
Sb04g005210.1	15-4CL	4	5064702	5069861	16	9:03:04	14
Sb04g005510.1	44-CCR	4	5352759	5355703	8	4:02:02	10
Sb04g005950.1	14-CAD	4	5776540	5781208	7	7:00:00	7
Sb04g011090.1	41-COMT	4	16256176	16257675	2	0:02:00	3
Sb04g011550.1	44-CCR	4	17408196	17413454	2	2:00:00	1
Sb04g017460.1	3-C4H	4	40894673	40896469	10	0:03:07	6
Sb04g025760.1	4-HCT	4	55528975	55534847	17	11:02:04	16
Sb04g026510.1	8-PAL	4	56378538	56382418	32	13:15:04	55
Sb04g026520.1	8-PAL	4	56392114	56396917	19	11:06:02	21
